ID categoría,Dominio,Categoría,Proveedor representativo,Prioridad,Estado validación,Notas
C001,Network Security,Enterprise Firewall / NGFW,Palo Alto Networks,Alta,Pendiente,
C001,Network Security,Enterprise Firewall / NGFW,Fortinet,Alta,Pendiente,
C001,Network Security,Enterprise Firewall / NGFW,Check Point,Alta,Pendiente,
C001,Network Security,Enterprise Firewall / NGFW,Cisco,Alta,Pendiente,
C001,Network Security,Enterprise Firewall / NGFW,Juniper,Alta,Pendiente,
C001,Network Security,Enterprise Firewall / NGFW,Sophos,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Zscaler,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Netskope,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Palo Alto Networks,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Cisco,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Cloudflare,Alta,Pendiente,
C002,Network Security,Secure Service Edge (SSE),Skyhigh Security,Alta,Pendiente,
C003,Network Security,SASE,Palo Alto Networks,Alta,Pendiente,
C003,Network Security,SASE,Cisco,Alta,Pendiente,
C003,Network Security,SASE,Fortinet,Alta,Pendiente,
C003,Network Security,SASE,Cato Networks,Alta,Pendiente,
C003,Network Security,SASE,Versa,Alta,Pendiente,
C003,Network Security,SASE,HPE Aruba,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Zscaler,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Netskope,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Cloudflare,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Palo Alto Networks,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Cisco,Alta,Pendiente,
C004,Network Security,Zero Trust Network Access,Appgate,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,Cloudflare,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,Akamai,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,F5,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,Imperva,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,Fastly,Alta,Pendiente,
C005,Network Security,Web Application & API Protection,Radware,Alta,Pendiente,
C006,Network Security,DDoS Protection,Cloudflare,Alta,Pendiente,
C006,Network Security,DDoS Protection,Akamai,Alta,Pendiente,
C006,Network Security,DDoS Protection,Netscout,Alta,Pendiente,
C006,Network Security,DDoS Protection,Radware,Alta,Pendiente,
C006,Network Security,DDoS Protection,Imperva,Alta,Pendiente,
C006,Network Security,DDoS Protection,AWS,Alta,Pendiente,
C007,Network Security,Network Detection & Response,Vectra AI,Alta,Pendiente,
C007,Network Security,Network Detection & Response,ExtraHop,Alta,Pendiente,
C007,Network Security,Network Detection & Response,Darktrace,Alta,Pendiente,
C007,Network Security,Network Detection & Response,Cisco,Alta,Pendiente,
C007,Network Security,Network Detection & Response,Corelight,Alta,Pendiente,
C007,Network Security,Network Detection & Response,Arista Awake,Alta,Pendiente,
C008,Network Security,Network Access Control,Cisco,Media,Pendiente,
C008,Network Security,Network Access Control,HPE Aruba,Media,Pendiente,
C008,Network Security,Network Access Control,Forescout,Media,Pendiente,
C008,Network Security,Network Access Control,Fortinet,Media,Pendiente,
C008,Network Security,Network Access Control,Portnox,Media,Pendiente,
C009,Network Security,DNS Security,Cisco Umbrella,Media,Pendiente,
C009,Network Security,DNS Security,Infoblox,Media,Pendiente,
C009,Network Security,DNS Security,Cloudflare,Media,Pendiente,
C009,Network Security,DNS Security,Akamai,Media,Pendiente,
C009,Network Security,DNS Security,Palo Alto Networks,Media,Pendiente,
C010,Network Security,Microsegmentation,Akamai Guardicore,Media,Pendiente,
C010,Network Security,Microsegmentation,Illumio,Media,Pendiente,
C010,Network Security,Microsegmentation,VMware,Media,Pendiente,
C010,Network Security,Microsegmentation,Cisco,Media,Pendiente,
C010,Network Security,Microsegmentation,ColorTokens,Media,Pendiente,
C011,Identity Security,Identity and Access Management,Microsoft,Alta,Pendiente,
C011,Identity Security,Identity and Access Management,Okta,Alta,Pendiente,
C011,Identity Security,Identity and Access Management,Ping Identity,Alta,Pendiente,
C011,Identity Security,Identity and Access Management,IBM,Alta,Pendiente,
C011,Identity Security,Identity and Access Management,Oracle,Alta,Pendiente,
C011,Identity Security,Identity and Access Management,CyberArk,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,SailPoint,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,Saviynt,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,One Identity,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,Omada,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,Microsoft,Alta,Pendiente,
C012,Identity Security,Identity Governance & Administration,IBM,Alta,Pendiente,
C013,Identity Security,Privileged Access Management,CyberArk,Alta,Pendiente,
C013,Identity Security,Privileged Access Management,BeyondTrust,Alta,Pendiente,
C013,Identity Security,Privileged Access Management,Delinea,Alta,Pendiente,
C013,Identity Security,Privileged Access Management,One Identity,Alta,Pendiente,
C013,Identity Security,Privileged Access Management,WALLIX,Alta,Pendiente,
C014,Identity Security,Customer IAM,Okta Auth0,Alta,Pendiente,
C014,Identity Security,Customer IAM,Ping Identity,Alta,Pendiente,
C014,Identity Security,Customer IAM,ForgeRock,Alta,Pendiente,
C014,Identity Security,Customer IAM,Microsoft,Alta,Pendiente,
C014,Identity Security,Customer IAM,SAP,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,Microsoft,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,CrowdStrike,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,Silverfort,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,Semperis,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,Varonis,Alta,Pendiente,
C015,Identity Security,Identity Threat Detection & Response,Tenable,Alta,Pendiente,
C016,Identity Security,Passwordless Authentication,Microsoft,Media,Pendiente,
C016,Identity Security,Passwordless Authentication,Okta,Media,Pendiente,
C016,Identity Security,Passwordless Authentication,Cisco Duo,Media,Pendiente,
C016,Identity Security,Passwordless Authentication,Yubico,Media,Pendiente,
C016,Identity Security,Passwordless Authentication,HYPR,Media,Pendiente,
C016,Identity Security,Passwordless Authentication,Beyond Identity,Media,Pendiente,
C017,Identity Security,Machine Identity Management,CyberArk,Alta,Pendiente,
C017,Identity Security,Machine Identity Management,Venafi,Alta,Pendiente,
C017,Identity Security,Machine Identity Management,Keyfactor,Alta,Pendiente,
C017,Identity Security,Machine Identity Management,Akeyless,Alta,Pendiente,
C017,Identity Security,Machine Identity Management,HashiCorp,Alta,Pendiente,
C018,Identity Security,Authentication Security,Cisco Duo,Alta,Pendiente,
C018,Identity Security,Authentication Security,Microsoft,Alta,Pendiente,
C018,Identity Security,Authentication Security,Okta,Alta,Pendiente,
C018,Identity Security,Authentication Security,RSA,Alta,Pendiente,
C018,Identity Security,Authentication Security,Thales,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,Microsoft,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,CrowdStrike,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,SentinelOne,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,Sophos,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,Trend Micro,Alta,Pendiente,
C019,Endpoint Security,Endpoint Protection Platform,Trellix,Alta,Pendiente,
C020,Endpoint Security,Endpoint Detection & Response,CrowdStrike,Alta,Pendiente,
C020,Endpoint Security,Endpoint Detection & Response,Microsoft,Alta,Pendiente,
C020,Endpoint Security,Endpoint Detection & Response,SentinelOne,Alta,Pendiente,
C020,Endpoint Security,Endpoint Detection & Response,Palo Alto Networks,Alta,Pendiente,
C020,Endpoint Security,Endpoint Detection & Response,Sophos,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,Palo Alto Networks,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,CrowdStrike,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,Microsoft,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,SentinelOne,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,Trend Micro,Alta,Pendiente,
C021,Endpoint Security,Extended Detection & Response,Cisco,Alta,Pendiente,
C022,Endpoint Security,Mobile Threat Defense,Lookout,Media,Pendiente,
C022,Endpoint Security,Mobile Threat Defense,Zimperium,Media,Pendiente,
C022,Endpoint Security,Mobile Threat Defense,Microsoft,Media,Pendiente,
C022,Endpoint Security,Mobile Threat Defense,Ivanti,Media,Pendiente,
C022,Endpoint Security,Mobile Threat Defense,Jamf,Media,Pendiente,
C023,Endpoint Security,Endpoint Privilege Management,BeyondTrust,Media,Pendiente,
C023,Endpoint Security,Endpoint Privilege Management,CyberArk,Media,Pendiente,
C023,Endpoint Security,Endpoint Privilege Management,Delinea,Media,Pendiente,
C023,Endpoint Security,Endpoint Privilege Management,Admin By Request,Media,Pendiente,
C023,Endpoint Security,Endpoint Privilege Management,ThreatLocker,Media,Pendiente,
C024,Endpoint Security,Application Control / Allowlisting,ThreatLocker,Media,Pendiente,
C024,Endpoint Security,Application Control / Allowlisting,Airlock Digital,Media,Pendiente,
C024,Endpoint Security,Application Control / Allowlisting,Microsoft,Media,Pendiente,
C024,Endpoint Security,Application Control / Allowlisting,Ivanti,Media,Pendiente,
C024,Endpoint Security,Application Control / Allowlisting,VMware Carbon Black,Media,Pendiente,
C025,Cloud Security,Cloud-Native Application Protection Platform,Wiz,Alta,Pendiente,
C025,Cloud Security,Cloud-Native Application Protection Platform,Palo Alto Networks,Alta,Pendiente,
C025,Cloud Security,Cloud-Native Application Protection Platform,Microsoft,Alta,Pendiente,
C025,Cloud Security,Cloud-Native Application Protection Platform,Check Point,Alta,Pendiente,
