Proveedor,Producto,Campo,Valor
Palo Alto Networks,PA-Series NGFW,pricing_model,Per appliance + subscription/year
Palo Alto Networks,PA-Series NGFW,pricing_range,Contact sales ($5K-$500K+ depending on model)
Palo Alto Networks,PA-Series NGFW,encryption_algorithms,"AES-256-CBC, AES-256-GCM, 3DES, ChaCha20-Poly1305"
Palo Alto Networks,PA-Series NGFW,api_docs_url,https://docs.paloaltonetworks.com/pan-os/11-1/pan-os-panorama-api
Palo Alto Networks,PA-Series NGFW,supported_clouds,N/A (on-prem appliance)
Palo Alto Networks,PA-Series NGFW,min_deployment_size,1 appliance (PA-400 series)
Palo Alto Networks,PA-Series NGFW,free_trial,No
Palo Alto Networks,PA-Series NGFW,support_languages,"EN, ES, FR, DE, JP, KO, ZH"
Palo Alto Networks,PA-Series NGFW,founded_year,2005
Palo Alto Networks,PA-Series NGFW,hq_location,"Santa Clara, CA, USA"
Palo Alto Networks,Prisma Cloud,pricing_model,Per cloud resource/workload credits
Palo Alto Networks,Prisma Cloud,pricing_range,Contact sales (~$1-3 per resource/month)
Palo Alto Networks,Prisma Cloud,encryption_algorithms,"AES-256-GCM, TLS 1.3"
Palo Alto Networks,Prisma Cloud,api_docs_url,https://pan.dev/prisma-cloud/api/
Palo Alto Networks,Prisma Cloud,supported_clouds,"AWS, Azure, GCP, OCI, Alibaba Cloud"
Palo Alto Networks,Prisma Cloud,min_deployment_size,1 cloud account
Palo Alto Networks,Prisma Cloud,free_trial,Yes (30 days)
Palo Alto Networks,Prisma Cloud,support_languages,"EN, JP, KO"
Palo Alto Networks,Prisma Cloud,founded_year,2005
Palo Alto Networks,Prisma Cloud,hq_location,"Santa Clara, CA, USA"
Palo Alto Networks,Cortex XDR,pricing_model,Per endpoint/year
Palo Alto Networks,Cortex XDR,pricing_range,Contact sales (~$50-80/endpoint/year)
Palo Alto Networks,Cortex XDR,encryption_algorithms,"AES-256-GCM, TLS 1.3"
Palo Alto Networks,Cortex XDR,api_docs_url,https://docs-cortex.paloaltonetworks.com/r/Cortex-XDR-REST-API
Palo Alto Networks,Cortex XDR,supported_clouds,"AWS, Azure, GCP"
Palo Alto Networks,Cortex XDR,min_deployment_size,200 endpoints (typical minimum)
Palo Alto Networks,Cortex XDR,free_trial,Yes (30 days)
Palo Alto Networks,Cortex XDR,support_languages,"EN, JP, KO"
Palo Alto Networks,Cortex XDR,founded_year,2005
Palo Alto Networks,Cortex XDR,hq_location,"Santa Clara, CA, USA"
CrowdStrike,Falcon Insight,pricing_model,Per endpoint/year
CrowdStrike,Falcon Insight,pricing_range,$8-15/endpoint/month
CrowdStrike,Falcon Insight,encryption_algorithms,"AES-256, TLS 1.2/1.3"
CrowdStrike,Falcon Insight,api_docs_url,https://falcon.crowdstrike.com/documentation/46/crowdstrike-oauth2-based-apis
CrowdStrike,Falcon Insight,supported_clouds,"AWS, Azure, GCP"
CrowdStrike,Falcon Insight,min_deployment_size,5 endpoints (Falcon Go)
CrowdStrike,Falcon Insight,free_trial,Yes (15 days)
CrowdStrike,Falcon Insight,support_languages,"EN, DE, FR, JP, ES"
CrowdStrike,Falcon Insight,founded_year,2011
CrowdStrike,Falcon Insight,hq_location,"Austin, TX, USA"
CrowdStrike,Falcon Cloud Security,pricing_model,Per cloud workload/year
CrowdStrike,Falcon Cloud Security,pricing_range,Contact sales
CrowdStrike,Falcon Cloud Security,encryption_algorithms,"AES-256, TLS 1.2/1.3"
CrowdStrike,Falcon Cloud Security,api_docs_url,https://falcon.crowdstrike.com/documentation/46/crowdstrike-oauth2-based-apis
CrowdStrike,Falcon Cloud Security,supported_clouds,"AWS, Azure, GCP"
CrowdStrike,Falcon Cloud Security,min_deployment_size,1 cloud account
CrowdStrike,Falcon Cloud Security,free_trial,Yes (15 days)
CrowdStrike,Falcon Cloud Security,support_languages,"EN, DE, FR, JP, ES"
CrowdStrike,Falcon Cloud Security,founded_year,2011
CrowdStrike,Falcon Cloud Security,hq_location,"Austin, TX, USA"
Microsoft,Defender for Endpoint,pricing_model,Per user/month (Microsoft 365 license)
Microsoft,Defender for Endpoint,pricing_range,$2.50-5.20/user/month (P1-P2 standalone)
Microsoft,Defender for Endpoint,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
Microsoft,Defender for Endpoint,api_docs_url,https://learn.microsoft.com/en-us/microsoft-365/security/defender-endpoint/api/apis-intro
Microsoft,Defender for Endpoint,supported_clouds,"Azure, AWS, GCP (via onboarding)"
Microsoft,Defender for Endpoint,min_deployment_size,1 user
Microsoft,Defender for Endpoint,free_trial,Yes (90 days)
Microsoft,Defender for Endpoint,support_languages,"EN, ES, FR, DE, IT, PT, JP, KO, ZH, AR, HE, NL, PL, RU, SV, TR"
Microsoft,Defender for Endpoint,founded_year,1975
Microsoft,Defender for Endpoint,hq_location,"Redmond, WA, USA"
Microsoft,Entra ID,pricing_model,Per user/month
Microsoft,Entra ID,pricing_range,"Free tier available; P1 $6/user/month, P2 $9/user/month"
Microsoft,Entra ID,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
Microsoft,Entra ID,api_docs_url,https://learn.microsoft.com/en-us/graph/api/resources/identity-network-access-overview
Microsoft,Entra ID,supported_clouds,"Azure, AWS, GCP, Any (SAML/OIDC)"
Microsoft,Entra ID,min_deployment_size,1 user
Microsoft,Entra ID,free_trial,Free tier
Microsoft,Entra ID,support_languages,"EN, ES, FR, DE, IT, PT, JP, KO, ZH, AR, HE, NL, PL, RU, SV, TR"
Microsoft,Entra ID,founded_year,1975
Microsoft,Entra ID,hq_location,"Redmond, WA, USA"
Microsoft,Sentinel,pricing_model,Per GB ingested/day
Microsoft,Sentinel,pricing_range,"$2.46/GB (pay-as-you-go), commitment tiers from $100/day"
Microsoft,Sentinel,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Microsoft,Sentinel,api_docs_url,https://learn.microsoft.com/en-us/rest/api/securityinsights/
Microsoft,Sentinel,supported_clouds,"Azure, AWS, GCP (via connectors)"
Microsoft,Sentinel,min_deployment_size,1 Log Analytics workspace
Microsoft,Sentinel,free_trial,Free tier (10 GB/day free with Azure)
Microsoft,Sentinel,support_languages,"EN, ES, FR, DE, IT, PT, JP, KO, ZH"
Microsoft,Sentinel,founded_year,1975
Microsoft,Sentinel,hq_location,"Redmond, WA, USA"
Cisco,Secure Firewall,pricing_model,Per appliance + subscription/year
Cisco,Secure Firewall,pricing_range,Contact sales ($3K-$300K+ depending on model)
Cisco,Secure Firewall,encryption_algorithms,"AES-256-GCM, AES-256-CBC, 3DES, ChaCha20-Poly1305"
Cisco,Secure Firewall,api_docs_url,https://developer.cisco.com/docs/fmc-api/
Cisco,Secure Firewall,supported_clouds,"AWS, Azure, GCP (virtual appliance)"
Cisco,Secure Firewall,min_deployment_size,1 appliance (1100 series)
Cisco,Secure Firewall,free_trial,No (demo available)
Cisco,Secure Firewall,support_languages,"EN, ES, FR, DE, JP, KO, ZH"
Cisco,Secure Firewall,founded_year,1984
Cisco,Secure Firewall,hq_location,"San Jose, CA, USA"
Cisco,Duo Security,pricing_model,Per user/month
Cisco,Duo Security,pricing_range,"Free (up to 10 users); $3-9/user/month (Essentials-Premier)"
Cisco,Duo Security,encryption_algorithms,"AES-256, RSA-2048, TLS 1.2/1.3"
Cisco,Duo Security,api_docs_url,https://duo.com/docs/adminapi
Cisco,Duo Security,supported_clouds,Any (cloud-agnostic SaaS)
Cisco,Duo Security,min_deployment_size,1 user (Free tier: 10 users)
Cisco,Duo Security,free_trial,Free tier
Cisco,Duo Security,support_languages,"EN, ES, FR, DE, IT, JP, KO, ZH, PT, NL"
Cisco,Duo Security,founded_year,1984
Cisco,Duo Security,hq_location,"San Jose, CA, USA"
Zscaler,Zscaler Internet Access (ZIA),pricing_model,Per user/year
Zscaler,Zscaler Internet Access (ZIA),pricing_range,Contact sales (~$80-150/user/year)
Zscaler,Zscaler Internet Access (ZIA),encryption_algorithms,"AES-256-GCM, TLS 1.3, ChaCha20-Poly1305"
Zscaler,Zscaler Internet Access (ZIA),api_docs_url,https://help.zscaler.com/zia/getting-started-zia-api
Zscaler,Zscaler Internet Access (ZIA),supported_clouds,"AWS, Azure, GCP (agentless)"
Zscaler,Zscaler Internet Access (ZIA),min_deployment_size,100 users (typical)
Zscaler,Zscaler Internet Access (ZIA),free_trial,No (PoC available)
Zscaler,Zscaler Internet Access (ZIA),support_languages,"EN, DE, FR, JP, ES"
Zscaler,Zscaler Internet Access (ZIA),founded_year,2007
Zscaler,Zscaler Internet Access (ZIA),hq_location,"San Jose, CA, USA"
Cloudflare,Cloudflare WAF,pricing_model,"Per zone/month, enterprise custom"
Cloudflare,Cloudflare WAF,pricing_range,"Free tier available; Pro $20/month, Business $200/month, Enterprise custom"
Cloudflare,Cloudflare WAF,encryption_algorithms,"AES-256-GCM, ChaCha20-Poly1305, TLS 1.3, ECDSA P-256"
Cloudflare,Cloudflare WAF,api_docs_url,https://developers.cloudflare.com/api/
Cloudflare,Cloudflare WAF,supported_clouds,Any (reverse proxy)
Cloudflare,Cloudflare WAF,min_deployment_size,1 domain
Cloudflare,Cloudflare WAF,free_trial,Free tier
Cloudflare,Cloudflare WAF,support_languages,"EN, ES, FR, DE, PT, JP, KO, ZH"
Cloudflare,Cloudflare WAF,founded_year,2009
Cloudflare,Cloudflare WAF,hq_location,"San Francisco, CA, USA"
Wiz,Wiz CNAPP,pricing_model,Per cloud resource/year
Wiz,Wiz CNAPP,pricing_range,Contact sales
Wiz,Wiz CNAPP,encryption_algorithms,"AES-256, TLS 1.2/1.3"
Wiz,Wiz CNAPP,api_docs_url,https://docs.wiz.io/wiz-docs/reference/api-overview
Wiz,Wiz CNAPP,supported_clouds,"AWS, Azure, GCP, OCI, Alibaba Cloud, VMware"
Wiz,Wiz CNAPP,min_deployment_size,1 cloud account
Wiz,Wiz CNAPP,free_trial,No (PoC available)
