Proveedor,N.º dominios,N.º categorías,Dominios,Categorías,Estado análisis,Tier
AENOR,1,1,D20,C121,Pendiente,Tier 2
AMD,2,3,D05; D17,C037; C106; C107,Pendiente,Tier 1
ANY.RUN,1,1,D08,C059,Pendiente,Tier 3
AWS,4,5,D01; D05; D06; D18,C006; C037; C044; C109; C112,Pendiente,Tier 1
AWS Nitro,1,1,D17,C107,Pendiente,Tier 1
Abnormal Security,1,1,D14,C094,Pendiente,Tier 3
Abuse.ch,1,1,D08,C057,Pendiente,Tier 3
Accenture,2,3,D16; D20,C102; C103; C119,Pendiente,Tier 1
Admin By Request,1,1,D03,C023,Pendiente,Tier 3
Airlock Digital,1,1,D03,C024,Pendiente,Tier 3
Akamai,3,5,D01; D06; D15,C005; C006; C009; C042; C099,Pendiente,Tier 1
Akamai Guardicore,1,1,D01,C010,Pendiente,Tier 1
Akeyless,3,3,D02; D06; D18,C017; C044; C112,Pendiente,Tier 3
AlienVault OTX,1,1,D08,C057,Pendiente,Tier 3
Anomali,1,1,D08,C055,Pendiente,Tier 3
Anvilogic,1,1,D07,C050,Pendiente,Tier 3
Apiiro,1,1,D06,C041,Pendiente,Tier 3
AppViewX,1,3,D18,C110; C111; C114,Pendiente,Tier 3
Appgate,1,1,D01,C004,Pendiente,Tier 3
Apple,1,1,D17,C107,Pendiente,Tier 1
Aqua Security,1,1,D04,C029,Pendiente,Tier 3
Archer,1,3,D10,C069; C070; C075,Pendiente,Tier 2
Arctic Wolf,1,1,D16,C101,Pendiente,Tier 2
Argus,1,1,D13,C092,Pendiente,Tier 3
Arista Awake,1,1,D01,C007,Pendiente,Tier 2
Arkose Labs,1,1,D15,C098,Pendiente,Tier 3
Arm,1,1,D17,C107,Pendiente,Tier 1
Armis,2,5,D09; D13,C067; C088; C089; C090; C091,Pendiente,Tier 2
ArmorCode,1,1,D06,C041,Pendiente,Tier 3
AttackIQ,1,1,D09,C065,Pendiente,Tier 3
AuditBoard,1,2,D10,C070; C074,Pendiente,Tier 3
Axio,1,1,D10,C073,Pendiente,Tier 3
Axonius,1,1,D09,C067,Pendiente,Tier 3
Azure Key Vault,1,1,D06,C044,Pendiente,Tier 1
BSI,1,1,D20,C121,Pendiente,Tier 2
Barracuda,1,1,D14,C093,Pendiente,Tier 2
Beyond Identity,1,1,D02,C016,Pendiente,Tier 3
BeyondTrust,2,2,D02; D03,C013; C023,Pendiente,Tier 2
BigID,2,3,D05; D11,C032; C033; C077,Pendiente,Tier 3
BioCatch,1,2,D15,C097; C098,Pendiente,Tier 3
Bishop Fox,1,1,D20,C120,Pendiente,Tier 3
BitSight,2,2,D09; D10,C068; C071,Pendiente,Tier 2
Black Kite,1,1,D09,C068,Pendiente,Tier 3
Blink Ops,1,1,D07,C051,Pendiente,Tier 3
Bolster,2,2,D08; D15,C060; C100,Pendiente,Tier 3
